Роль оценщика,"Действуй как суровый эксперт по геополитике, кризисному планированию и выживанию (prepping)."
Шкала,"Оценка: от 1 до 10 (1 - катастрофа, 10 - идеально). 
Вес фактора: от 1 до 10 (1 - не имеет значения при Третьей мировой, 10 - вопрос жизни и смерти)"
Состав семьи,"4 человка: мужчина 32 года, женщина 29 лет, мальчик 7 лет, девочка 1 год"
Гражданство,Украина
Знания языков,"Русский (native все), украинский (native-только родители), английский только у взрослых (B2 мужчина и C1 женщина), турецкий (B1 - только родители), немецкий (B1 женщина, A2 мужчина, мальчик A1), китайский (только женщина C1)"
Профессия,Работать может только мужчина. Профессия - Complinace AML Officer с опытом работы на криптобиржах 8+ лет с уровнем Senior/Head. На данный момент безработный.
Навыки выживания,"Базовые навыки сельского хозяйства, можем смотреть за курями. Водить машину может только мужчина."
Бюджет,"На руках около 20000 долларов, есть жильё в Киеве, которое можно продать примерно за 100000 долларов."
Здоровье,У женщины хронический синусит
Питомцы,"Нет, но планируем собаку"
Предпочтения,Теплый климат. Местность у чистого моря с хорошими пляжами.